,p1,p2,p3,p4,ll
341,0.01,0.235,0.6600000000000004,0.09499999999999964,-1026.2381946950582
342,0.01,0.235,0.6850000000000004,0.06999999999999962,-1135.70001325909
343,0.01,0.235,0.7100000000000004,0.044999999999999596,-1301.6690161433855
344,0.01,0.235,0.7350000000000004,0.019999999999999574,-1619.740849840987
345,0.01,0.26,0.01,0.72,-884.7919545792975
346,0.01,0.26,0.035,0.695,-848.943874033242
347,0.01,0.26,0.060000000000000005,0.6699999999999999,-817.5985657146474
348,0.01,0.26,0.085,0.645,-790.2160207780546
349,0.01,0.26,0.11000000000000001,0.62,-766.3797056557175
350,0.01,0.26,0.135,0.595,-745.7670587771318
351,0.01,0.26,0.16,0.57,-728.1292467645831
352,0.01,0.26,0.185,0.5449999999999999,-713.2771376134339
353,0.01,0.26,0.21,0.52,-701.0716222263769
354,0.01,0.26,0.235,0.495,-691.4171237232183
355,0.01,0.26,0.26,0.47,-684.2575846030575
356,0.01,0.26,0.28500000000000003,0.44499999999999995,-679.5745300151623
357,0.01,0.26,0.31000000000000005,0.41999999999999993,-677.387039661786
358,0.01,0.26,0.3350000000000001,0.3949999999999999,-677.7536678276103
359,0.01,0.26,0.3600000000000001,0.3699999999999999,-680.7765700467023
360,0.01,0.26,0.3850000000000001,0.34499999999999986,-686.6083697930848
361,0.01,0.26,0.41000000000000014,0.31999999999999984,-695.4626915886769
362,0.01,0.26,0.43500000000000016,0.2949999999999998,-707.6299016700449
363,0.01,0.26,0.4600000000000002,0.2699999999999998,-723.5006232239098
364,0.01,0.26,0.4850000000000002,0.24499999999999977,-743.6014001405788
365,0.01,0.26,0.5100000000000002,0.21999999999999975,-768.650238737654
366,0.01,0.26,0.5350000000000003,0.19499999999999973,-799.6463590129033
367,0.01,0.26,0.5600000000000003,0.1699999999999997,-838.0223835887904
368,0.01,0.26,0.5850000000000003,0.14499999999999968,-885.9189456435291
369,0.01,0.26,0.6100000000000003,0.11999999999999966,-946.7221691975595
370,0.01,0.26,0.6350000000000003,0.09499999999999964,-1026.2381946950582
371,0.01,0.26,0.6600000000000004,0.06999999999999962,-1135.70001325909
372,0.01,0.26,0.6850000000000004,0.044999999999999596,-1301.6690161433855
373,0.01,0.26,0.7100000000000004,0.019999999999999574,-1619.740849840987
374,0.01,0.28500000000000003,0.01,0.695,-848.943874033242
375,0.01,0.28500000000000003,0.035,0.6699999999999999,-817.5985657146474
376,0.01,0.28500000000000003,0.060000000000000005,0.645,-790.2160207780546
377,0.01,0.28500000000000003,0.085,0.6199999999999999,-766.3797056557175
378,0.01,0.28500000000000003,0.11000000000000001,0.595,-745.7670587771318
379,0.01,0.28500000000000003,0.135,0.57,-728.1292467645831
380,0.01,0.28500000000000003,0.16,0.5449999999999999,-713.2771376134339
381,0.01,0.28500000000000003,0.185,0.52,-701.0716222263769
382,0.01,0.28500000000000003,0.21,0.495,-691.4171237232183
383,0.01,0.28500000000000003,0.235,0.47,-684.2575846030575
384,0.01,0.28500000000000003,0.26,0.44499999999999995,-679.5745300151623
385,0.01,0.28500000000000003,0.28500000000000003,0.41999999999999993,-677.387039661786
386,0.01,0.28500000000000003,0.31000000000000005,0.3949999999999999,-677.7536678276103
387,0.01,0.28500000000000003,0.3350000000000001,0.3699999999999999,-680.7765700467023
388,0.01,0.28500000000000003,0.3600000000000001,0.34499999999999986,-686.6083697930848
389,0.01,0.28500000000000003,0.3850000000000001,0.31999999999999984,-695.4626915886769
390,0.01,0.28500000000000003,0.41000000000000014,0.2949999999999998,-707.6299016700449
391,0.01,0.28500000000000003,0.43500000000000016,0.2699999999999998,-723.5006232239098
392,0.01,0.28500000000000003,0.4600000000000002,0.24499999999999977,-743.6014001405788
